id,title_blog,url_blog,author_blog,author_followers,claps,comments,publisher_followers,title_paper,url_paper
0,Self-Generated Critiques Boost Reward Modeling for LanguageModels — Paper Review,https://medium.com/@sulbha.jindal/self-generated-critiques-boost-reward-modeling-for-languagemodels-paper-review-f013b99b7d47,Sulbha Jain,41,21,0,,Self-Generated Critiques Boost Reward Modeling for Language Models,https://arxiv.org/pdf/2411.16646
1,SMoA: Improving Multi-agent Large Language Models with Sparse Mixture-of-Agents,https://medium.com/@sulbha.jindal/smoa-improving-multi-agent-large-language-models-with-sparse-mixture-of-agents-paper-review-22adc69c15ca,Sulbha Jain,41,0,0,,SMoA: Improving Multi-agent Large Language Models with Sparse Mixture-of-Agents,https://arxiv.org/pdf/2411.03284
2,Recurrent drafter for fast speculative decoding in Large Language Models,https://medium.com/@sulbha.jindal/recurrent-drafter-for-fast-speculative-decoding-in-large-language-models-paper-review-d77cfc09cae4,Sulbha Jain,41,1,0,,Recurrent drafter for fast speculative decoding in Large Language Models,https://arxiv.org/pdf/2403.09919
3,ChatGPT vs Bing … and the urgent need for Responsible AI,https://medium.com/@dattaraj/testing-large-language-models-1422d622e0c5,Dattaraj Rao,11,7,0,,Adaptive Test Generation Using a Large Language Model,https://arxiv.org/abs/2302.06527v2
4,How AI Is Changing the Way We Code,https://medium.com/towards-data-science/how-ai-is-changing-the-way-we-code-36ff30262e65,"Quentin Gallea, PhD",820,423,12,816000,From Mundane to Meaningful: AI's Influence on Work Dynamics -- evidence from ChatGPT and Stack Overflow,https://arxiv.org/abs/2308.11302
5,Data Centric AI — LLAVA,https://medium.com/@amansinghalml_33304/data-centric-ai-llava-0fd3c51dd359,Amansinghalml,12,7,0,,Visual Instruction Tuning,https://arxiv.org/abs/2304.08485
6,Building with Blocks: Modular RAG for Flexible and Powerful LLMs,https://medium.com/@yash9439/building-with-blocks-modular-rag-for-flexible-and-powerful-llms-3dba3ab1a7ce,Yash Bhaskar,952,2,0,,Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks,https://arxiv.org/pdf/2407.21059
7,Advancements in Reinforcement Learning Research Using Soccer Data,https://medium.com/@keisuke198619/advancements-in-reinforcement-learning-research-using-soccer-data-131952d3e8a0,Keisuke Fujii,25,3,1,,Action valuation of on- and off-ball soccer players based on multi-agent deep reinforcement learning,https://arxiv.org/pdf/2305.17886
8,Beyond the Black Box: Inside the workings of LLMs,https://medium.com/@vishalmisra/beyond-the-black-box-inside-the-workings-of-llms-435bc82da7e9,Vishal Misra,358,74,0,,Beyond the Black Box: A Statistical Model for LLM Reasoning and Inference,https://arxiv.org/abs/2402.03175
9,Model-Free Risk-Sensitive Reinforcement Learning,https://deepmindsafetyresearch.medium.com/model-free-risk-sensitive-reinforcement-learning-5a12ba5ce662,DeepMind Safety Research,3000,78,0,,Model-Free Risk-Sensitive Reinforcement Learning,https://arxiv.org/abs/2111.02907
10,Learning to Generate Better than your LLM,https://medium.com/@dipendrakumarmisra/learning-to-generate-better-than-your-llm-41b9f0511ece,Dipendra Misra,17,6,0,,Learning to Generate Better Than Your LLM,https://arxiv.org/abs/2306.11816
11,Deep Laplacian-based Options for Temporally-Extended Exploration,https://medium.com/@marlos.cholodovskis/deep-laplacian-based-options-for-temporally-extended-exploration-7bf8dd469838,Marlos C. Machado,42,5,0,,Deep Laplacian-based Options for Temporally-Extended Exploration,https://arxiv.org/abs/2301.11181
12,Safe Reinforcement Learning — Part II,https://becominghuman.ai/safe-reinforcement-learning-part-ii-d957600fe001,Haitham Bou Ammar,79,15,0,39000,"Sauté RL: Almost Surely Safe Reinforcement Learning
Using State Augmentation",https://arxiv.org/pdf/2202.06558
